movie_id,movie_name,genre,year,box_office,box_office_source,value_origin,amount_match_project2
tt0245574,Y Tu Mamá También,Drama,2001,13839658,project_2_override,derived_from_db,True
tt0245674,Thir13en Ghosts,"Fantasy,Horror",2001,41867960,project_2_override,derived_from_db,True
tt0245686,Joe Dirt,"Adventure,Comedy,Drama",2001,27087695,project_2_override,derived_from_db,True
tt0245712,Amores Perros,"Drama,Thriller",2000,5408467,project_2_override,derived_from_db,True
tt0245844,The Count of Monte Cristo,"Action,Adventure,Drama",2002,54234062,project_2_override,derived_from_db,True
tt0246460,Die Another Day,"Action,Adventure,Thriller",2002,160942139,project_2_override,derived_from_db,True
tt0246500,Who Is Cletis Tout?,"Action,Comedy,Crime",2001,252706,project_2_override,derived_from_db,True
tt0246772,Mostly Martha,"Comedy,Drama,Romance",2001,4160475,project_2_override,derived_from_db,True
tt0247638,The Princess Diaries,"Comedy,Family,Romance",2001,108248956,project_2_override,derived_from_db,True
tt0249371,Ashoka the Great,"Action,Biography,Drama",2001,731277,project_2_override,derived_from_db,True
tt0249478,Domestic Disturbance,"Crime,Thriller",2001,45246095,project_2_override,derived_from_db,True
tt0250323,The Deep End,"Crime,Drama,Mystery",2001,8823109,project_2_override,derived_from_db,True
tt0250687,Rat Race,"Action,Adventure,Comedy",2001,56618055,project_2_override,derived_from_db,True
tt0250797,Unfaithful,"Drama,Romance,Thriller",2002,52775765,project_2_override,derived_from_db,True
tt0250809,Our Lady of the Assassins,"Crime,Drama",2000,525330,project_2_override,derived_from_db,True
tt0251075,Evolution,"Comedy,Sci-Fi",2001,38345494,project_2_override,derived_from_db,True
tt0251127,How to Lose a Guy in 10 Days,"Comedy,Romance",2003,105813373,project_2_override,derived_from_db,True
tt0251160,John Q,"Crime,Drama,Thriller",2002,71756802,project_2_override,derived_from_db,True
tt0251736,House of 1000 Corpses,Horror,2003,12634962,project_2_override,derived_from_db,True
tt0252028,Surviving Christmas,"Comedy,Romance",2004,11663156,project_2_override,derived_from_db,True
tt0252076,Maid in Manhattan,"Comedy,Drama,Romance",2002,94011225,project_2_override,derived_from_db,True
tt0252866,American Pie 2,Comedy,2001,145103595,project_2_override,derived_from_db,True
tt0253556,Reign of Fire,"Action,Adventure,Fantasy",2002,43061982,project_2_override,derived_from_db,True
tt0253754,Star Trek: Nemesis,"Action,Adventure,Sci-Fi",2002,43254409,project_2_override,derived_from_db,True
tt0253840,The Triumph of Love,"Comedy,Romance",2001,447267,project_2_override,derived_from_db,True
tt0255819,Baby Boy,"Crime,Drama,Romance",2001,28734552,project_2_override,derived_from_db,True
tt0256415,Sweet Home Alabama,"Comedy,Romance",2002,127223418,project_2_override,derived_from_db,True
tt0256524,The Curse of the Jade Scorpion,"Comedy,Crime,Mystery",2001,7517191,project_2_override,derived_from_db,True
tt0257044,Road to Perdition,"Crime,Drama,Thriller",2002,104454762,project_2_override,derived_from_db,True
tt0257076,S.W.A.T.,"Action,Adventure,Crime",2003,116934650,project_2_override,derived_from_db,True
tt0257106,Scary Movie 2,"Comedy,Horror",2001,71308997,project_2_override,derived_from_db,True
tt0257360,About Schmidt,Drama,2002,65016287,project_2_override,derived_from_db,True
tt0257516,Cursed,"Comedy,Horror,Mystery",2005,19297522,project_2_override,derived_from_db,True
tt0257568,Kangaroo Jack,"Action,Adventure,Comedy",2003,66934963,project_2_override,derived_from_db,True
tt0258068,The Quiet American,"Drama,Romance,Thriller",2002,12988801,project_2_override,derived_from_db,True
tt0258463,The Bourne Identity,"Action,Mystery,Thriller",2002,121661683,project_2_override,derived_from_db,True
tt0258816,The Reckoning,"Crime,Drama,Mystery",2002,257252,project_2_override,derived_from_db,True
tt0259324,Ghost Rider,"Action,Fantasy,Thriller",2007,115802596,project_2_override,derived_from_db,True
tt0259446,My Big Fat Greek Wedding,"Comedy,Drama,Romance",2002,241438208,project_2_override,derived_from_db,True
tt0259711,Vanilla Sky,"Fantasy,Mystery,Romance",2001,100618344,project_2_override,derived_from_db,True
tt0260866,Don't Say a Word,"Drama,Mystery,Thriller",2001,55001642,project_2_override,derived_from_db,True
tt0261289,Serving Sara,"Comedy,Romance",2002,16930185,project_2_override,derived_from_db,True
tt0262432,George Washington,Drama,2000,247406,project_2_override,derived_from_db,True
tt0263757,Uptown Girls,"Comedy,Drama,Romance",2003,37182494,project_2_override,derived_from_db,True
tt0264464,Catch Me If You Can,"Biography,Crime,Drama",2002,164615351,project_2_override,derived_from_db,True
tt0264472,Changing Lanes,"Drama,Thriller",2002,66818548,project_2_override,derived_from_db,True
tt0264616,Frailty,"Crime,Drama,Thriller",2001,13110448,project_2_override,derived_from_db,True
tt0264761,Kissing Jessica Stein,"Comedy,Drama,Romance",2001,7025722,project_2_override,derived_from_db,True
tt0264935,Murder by Numbers,"Crime,Mystery,Thriller",2002,31945749,project_2_override,derived_from_db,True
tt0265029,America's Sweethearts,"Comedy,Romance",2001,93607673,project_2_override,derived_from_db,True
tt0265086,Black Hawk Down,"Action,Drama,History",2001,108638745,project_2_override,derived_from_db,True
tt0265208,The Girl Next Door,"Comedy,Drama,Romance",2004,14589444,project_2_override,derived_from_db,True
tt0265298,Big Fat Liar,"Adventure,Comedy,Family",2002,48360547,project_2_override,derived_from_db,True
tt0265343,Monsoon Wedding,"Comedy,Drama,Romance",2001,13885966,project_2_override,derived_from_db,True
tt0265459,One Hour Photo,"Drama,Thriller",2002,31597131,project_2_override,derived_from_db,True
tt0265662,The Rookie,"Drama,Family,Sport",2002,75600072,project_2_override,derived_from_db,True
tt0266391,The Cat's Meow,"Crime,Drama,Romance",2001,3209481,project_2_override,derived_from_db,True
tt0266465,A Man Apart,"Action,Crime,Drama",2003,26736098,project_2_override,derived_from_db,True
tt0266489,Duplex,Comedy,2003,9692135,project_2_override,derived_from_db,True
tt0266915,Rush Hour 2,"Action,Comedy,Crime",2001,226164286,project_2_override,derived_from_db,True
tt0266987,Spy Game,"Action,Crime,Thriller",2001,62362560,project_2_override,derived_from_db,True
tt0267248,Abandon,"Drama,Mystery,Romance",2002,10727683,project_2_override,derived_from_db,True
tt0267626,K-19: The Widowmaker,"Drama,History,Thriller",2002,35168966,project_2_override,derived_from_db,True
tt0268380,Ice Age,"Adventure,Animation,Comedy",2002,176387405,project_2_override,derived_from_db,True
tt0268397,Jimmy Neutron: Boy Genius,"Action,Adventure,Animation",2001,80936232,project_2_override,derived_from_db,True
tt0268695,The Time Machine,"Action,Adventure,Sci-Fi",2002,56832494,project_2_override,derived_from_db,True
tt0269347,The Hunted,"Action,Crime,Drama",2003,34244097,project_2_override,derived_from_db,True
tt0270288,Confessions of a Dangerous Mind,"Biography,Comedy,Crime",2002,16007718,project_2_override,derived_from_db,True
tt0270980,My Boss's Daughter,"Comedy,Romance",2003,15550605,project_2_override,derived_from_db,True
tt0271027,Kiss of the Dragon,"Action,Crime,Thriller",2001,36845124,project_2_override,derived_from_db,True
tt0271367,Eight Legged Freaks,"Action,Adventure,Comedy",2002,17322606,project_2_override,derived_from_db,True
tt0272020,The Last Castle,"Action,Drama,Thriller",2001,18244060,project_2_override,derived_from_db,True
tt0272152,K-PAX,"Drama,Mystery,Sci-Fi",2001,50338485,project_2_override,derived_from_db,True
tt0272207,Narc,"Crime,Drama,Mystery",2002,10465659,project_2_override,derived_from_db,True
tt0273923,Orange County,"Comedy,Drama",2002,41076018,project_2_override,derived_from_db,True
tt0274166,Johnny English,"Action,Adventure,Comedy",2003,28082366,project_2_override,derived_from_db,True
tt0274812,Secretary,"Comedy,Drama,Romance",2002,4059680,project_2_override,derived_from_db,True
tt0275022,Crossroads,"Comedy,Drama,Romance",2002,37191304,project_2_override,derived_from_db,True
tt0275309,Dogtown and Z-Boys,"Documentary,Sport",2001,1300682,project_2_override,derived_from_db,True
tt0276751,About a Boy,"Comedy,Drama,Romance",2002,41385278,project_2_override,derived_from_db,True
tt0278435,Enough,"Crime,Drama,Thriller",2002,40007742,project_2_override,derived_from_db,True
tt0278488,How High,"Comedy,Fantasy",2001,31178740,project_2_override,derived_from_db,True
tt0278823,Hollywood Ending,"Comedy,Romance",2002,4850753,project_2_override,derived_from_db,True
tt0279331,Dark Blue,"Crime,Drama,Thriller",2002,9250301,project_2_override,derived_from_db,True
tt0279493,Undercover Brother,"Action,Comedy",2002,39089928,project_2_override,derived_from_db,True
tt0279778,Divine Secrets of the Ya-Ya Sisterhood,Drama,2002,69599016,project_2_override,derived_from_db,True
tt0280380,Trapped,"Action,Crime,Drama",2002,7073251,project_2_override,derived_from_db,True
tt0280460,The Banger Sisters,"Comedy,Drama",2002,30307416,project_2_override,derived_from_db,True
tt0280491,Bloody Sunday,"Drama,History,War",2002,773228,project_2_override,derived_from_db,True
tt0280590,Mr. Deeds,"Comedy,Romance",2002,126293452,project_2_override,derived_from_db,True
